customer_id,customer_name,mobile,frequency
"""BGXCL0o""","""hank.BGXCL0o""","""+886348621095""","""17"""
"""Nc0Z6aP""","""Alba.Nc0Z6aP""","""+886798504321""","""19"""
"""HVU07IC""","""Christina.HVU07IC""","""+886203145968""","""1"""
"""IoKug2t""","""Jonothan.IoKug2t""","""+886312987456""","""15"""
"""GxpyOj3""","""Cindy.GxpyOj3""","""+886928065374""","""14"""
"""cDsSWRL""","""peter.cDsSWRL""","""+886763250194""","""2"""
"""GZBk45r""","""hank.GZBk45r""","""+886728156390""","""6"""
"""S0yQhuC""","""tom.S0yQhuC""","""+886465328170""","""15"""
"""OqejK4g""","""hank.OqejK4g""","""+886325096417""","""6"""
"""jJwaPLe""","""tom.jJwaPLe""","""+886195074382""","""18"""
"""R0CLTy2""","""tom.R0CLTy2""","""+886385201467""","""6"""
"""WvrCXsm""","""hank.WvrCXsm""","""+886693408517""","""18"""
"""jl5fOXL""","""Cindy.jl5fOXL""","""+886286041937""","""15"""
"""fkQnpxL""","""May.fkQnpxL""","""+886702396148""","""12"""
"""tt14krf""","""hank.tt14krf""","""+886054261839""","""7"""
"""oYvHjGi""","""May.oYvHjGi""","""+886651823970""","""8"""
"""KTNzWPH""","""Nate.KTNzWPH""","""+886024615893""","""11"""
"""xkg4Dzo""","""Alba.xkg4Dzo""","""+886056921748""","""12"""
"""RfTwYLt""","""Cindy.RfTwYLt""","""+886498065217""","""5"""
"""UvUX1YC""","""Jonothan.UvUX1YC""","""+886456901328""","""18"""
"""ox9yOVZ""","""Cindy.ox9yOVZ""","""+886469108523""","""18"""
"""iGB17zx""","""Jonothan.iGB17zx""","""+886501436729""","""18"""
"""BEopLRn""","""Jonothan.BEopLRn""","""+886946105238""","""3"""
"""EWb719J""","""Christina.EWb719J""","""+886957460328""","""5"""
"""CBqRIZy""","""Alba.CBqRIZy""","""+886405876319""","""9"""
"""YKAoHOJ""","""Cindy.YKAoHOJ""","""+886640123978""","""14"""
"""OVyDfQE""","""hank.OVyDfQE""","""+886251780963""","""15"""
"""lXxqkFh""","""Cindy.lXxqkFh""","""+886730261895""","""7"""
"""HKHJAgq""","""hank.HKHJAgq""","""+886930241865""","""17"""
"""Cf7EXIQ""","""Alba.Cf7EXIQ""","""+886096413785""","""14"""
"""jkwnvNx""","""tom.jkwnvNx""","""+886138650724""","""11"""
"""MiJd0bk""","""Jessica.MiJd0bk""","""+886527981634""","""9"""
"""MLxC30Q""","""May.MLxC30Q""","""+886518367904""","""5"""
"""XqmTxS6""","""Christina.XqmTxS6""","""+886523678014""","""0"""
"""ocRbBup""","""Jonothan.ocRbBup""","""+886064381257""","""10"""
"""orEimun""","""Jonothan.orEimun""","""+886147860325""","""17"""
"""zhjEALc""","""Jessica.zhjEALc""","""+886137869250""","""7"""
"""RG6tlfg""","""peter.RG6tlfg""","""+886834190752""","""17"""
"""IPjJtUs""","""Nate.IPjJtUs""","""+886782035964""","""12"""
"""ZSVabM3""","""Alba.ZSVabM3""","""+886503782964""","""10"""
"""WPXmDq9""","""Alba.WPXmDq9""","""+886764523081""","""6"""
"""tnTzbXY""","""hank.tnTzbXY""","""+886184650239""","""11"""
"""VxOduhr""","""Jessica.VxOduhr""","""+886864293057""","""1"""
"""EuHjBPQ""","""tom.EuHjBPQ""","""+886173046258""","""16"""
"""ZDCpbVA""","""hank.ZDCpbVA""","""+886869374052""","""10"""
"""W6Qzrma""","""Alba.W6Qzrma""","""+886396201478""","""17"""
"""o5lFWzJ""","""tom.o5lFWzJ""","""+886714602895""","""1"""
"""KCscDdy""","""Alba.KCscDdy""","""+886631950784""","""7"""
"""IqSG2cQ""","""Jonothan.IqSG2cQ""","""+886953278401""","""18"""
"""wgfQaVy""","""hank.wgfQaVy""","""+886817426593""","""5"""
"""c28D5V3""","""tom.c28D5V3""","""+886657149238""","""11"""
"""Wt4OEFk""","""Cindy.Wt4OEFk""","""+886291057346""","""19"""
"""Fh1uTeE""","""May.Fh1uTeE""","""+886145923870""","""6"""
"""LzexdtL""","""hank.LzexdtL""","""+886719263845""","""9"""
"""HgShmFo""","""Jessica.HgShmFo""","""+886642175890""","""17"""
"""ifZg2De""","""tom.ifZg2De""","""+886726304591""","""7"""
"""mMulNZ0""","""Christina.mMulNZ0""","""+886621438590""","""6"""
"""RTEovP5""","""Nate.RTEovP5""","""+886864752019""","""6"""
"""oCvYM0D""","""peter.oCvYM0D""","""+886756420938""","""4"""
"""pyrQJ5F""","""Nate.pyrQJ5F""","""+886025769843""","""19"""
"""h1pZ8mE""","""Alba.h1pZ8mE""","""+886307648915""","""6"""
"""lY9brR0""","""Jessica.lY9brR0""","""+886610823759""","""14"""
"""FPfHdOS""","""tom.FPfHdOS""","""+886437280561""","""13"""
"""CTXjB0R""","""May.CTXjB0R""","""+886280436157""","""7"""
"""xkfqK50""","""peter.xkfqK50""","""+886412860379""","""1"""
"""ZILVF6o""","""Nate.ZILVF6o""","""+886180427963""","""12"""
"""EH6DlMi""","""Jonothan.EH6DlMi""","""+886613457902""","""1"""
"""cwy2cFZ""","""Christina.cwy2cFZ""","""+886035427896""","""1"""
"""HAIxko5""","""hank.HAIxko5""","""+886793461028""","""19"""
"""QsX6eUr""","""Christina.QsX6eUr""","""+886938045762""","""1"""
"""bxXO8tR""","""Jessica.bxXO8tR""","""+886289034157""","""16"""
"""AIhNam0""","""Jessica.AIhNam0""","""+886421538976""","""18"""
"""mDHMohx""","""Christina.mDHMohx""","""+886182395704""","""10"""
"""kA4qMz1""","""Cindy.kA4qMz1""","""+886135092687""","""12"""
"""RzOSpK8""","""hank.RzOSpK8""","""+886508314267""","""14"""
"""ZhGcf3g""","""May.ZhGcf3g""","""+886862740315""","""3"""
"""pYhT83g""","""Jessica.pYhT83g""","""+886051769328""","""16"""
"""iJhAp1s""","""Cindy.iJhAp1s""","""+886567314928""","""3"""
"""eUtP0sD""","""Cindy.eUtP0sD""","""+886068513492""","""12"""
"""YoWiGEZ""","""hank.YoWiGEZ""","""+886287463950""","""10"""
"""RlZ3Yyq""","""Cindy.RlZ3Yyq""","""+886146908253""","""6"""
"""lVtB9z7""","""Alba.lVtB9z7""","""+886604713925""","""14"""
"""pGQMcRN""","""Jessica.pGQMcRN""","""+886793465082""","""19"""
"""EGx5aRI""","""hank.EGx5aRI""","""+886185602947""","""14"""
"""gJYhHfs""","""peter.gJYhHfs""","""+886485092671""","""2"""
"""XQxpfWG""","""tom.XQxpfWG""","""+886793804561""","""13"""
"""tuF2N4Y""","""tom.tuF2N4Y""","""+886428351706""","""5"""
"""sOJ9diF""","""peter.sOJ9diF""","""+886508631742""","""12"""
"""yotf5Ab""","""May.yotf5Ab""","""+886082716459""","""9"""
"""hyv97kI""","""peter.hyv97kI""","""+886794851260""","""4"""
"""THWzToI""","""Jessica.THWzToI""","""+886316902845""","""14"""
"""eB8zIvt""","""tom.eB8zIvt""","""+886321964708""","""8"""
"""pd0jw8Q""","""Jonothan.pd0jw8Q""","""+886037625198""","""8"""
"""z0DPQbs""","""tom.z0DPQbs""","""+886035864179""","""2"""
"""udFXw4Z""","""May.udFXw4Z""","""+886039814256""","""16"""
"""L7pqZwg""","""Alba.L7pqZwg""","""+886732480195""","""7"""
"""oZ7ibJK""","""Christina.oZ7ibJK""","""+886106934857""","""12"""
"""a2sJfpb""","""peter.a2sJfpb""","""+886317569804""","""0"""
"""YtWiMw1""","""Nate.YtWiMw1""","""+886682370945""","""7"""
"""XSGsCjR""","""Jonothan.XSGsCjR""","""+886249075638""","""1"""
"""N3emCfj""","""Christina.N3emCfj""","""+886093785412""","""18"""
"""RJMDKHP""","""Jessica.RJMDKHP""","""+886427903685""","""7"""
"""lilEMoP""","""Jonothan.lilEMoP""","""+886169407258""","""0"""
"""zzH9yB2""","""tom.zzH9yB2""","""+886863427019""","""8"""
"""W1oG7Ym""","""Cindy.W1oG7Ym""","""+886694751830""","""0"""
"""S5cksZD""","""Alba.S5cksZD""","""+886826573901""","""10"""
"""btqFGpd""","""Jonothan.btqFGpd""","""+886865319274""","""9"""
"""GXldRVb""","""Christina.GXldRVb""","""+886425938160""","""10"""
"""vHJS7Zs""","""hank.vHJS7Zs""","""+886709256314""","""7"""
"""XGkYymd""","""May.XGkYymd""","""+886268597401""","""0"""
"""Fcdq5vb""","""Nate.Fcdq5vb""","""+886643958701""","""3"""
"""nOIoxj6""","""Jonothan.nOIoxj6""","""+886235489601""","""1"""
"""Ug8IChy""","""Nate.Ug8IChy""","""+886079261584""","""5"""
"""PnlGfcg""","""Cindy.PnlGfcg""","""+886589032467""","""11"""
"""LSXPUVn""","""Jessica.LSXPUVn""","""+886607139542""","""17"""
"""yfebSi5""","""tom.yfebSi5""","""+886457693281""","""4"""
"""dUJboix""","""Nate.dUJboix""","""+886187094625""","""1"""
"""WQTtwXH""","""Alba.WQTtwXH""","""+886308691547""","""7"""
"""RWZvcF3""","""Christina.RWZvcF3""","""+886138465290""","""8"""
"""sNv30Sc""","""peter.sNv30Sc""","""+886761984035""","""12"""
"""WRLdM21""","""Christina.WRLdM21""","""+886250964783""","""13"""
"""kXT4gzZ""","""hank.kXT4gzZ""","""+886310958624""","""19"""
"""UZ3NWMb""","""Christina.UZ3NWMb""","""+886305291684""","""17"""
"""rPCpKD3""","""May.rPCpKD3""","""+886349185702""","""6"""
"""ZN42uZa""","""hank.ZN42uZa""","""+886673921405""","""15"""
"""dH4joUx""","""peter.dH4joUx""","""+886875403912""","""9"""
"""XsfPFiX""","""peter.XsfPFiX""","""+886938054216""","""9"""
"""Y8A059C""","""peter.Y8A059C""","""+886082594361""","""15"""
"""CY3nfAm""","""Alba.CY3nfAm""","""+886972365410""","""16"""
"""LNIJCY1""","""May.LNIJCY1""","""+886930671548""","""5"""
